"id_plot","bsp","casp","cfla","ealb","equi","psp","satr","sbas","srob","sruf","sspc","tdod","teke","acur","alib","cdiv","cque","isp","mrob","nalb","nant","nque","ntri","trem","pmae","shem","stit","aner","aste","hann","mfag","btho","pfag","mpus","nnum","pmes","clut","cosp","ssam","arhy","aspc","tdec","oava","ioeh","clon","cesp","ppyg","cdis","esub","oque","cibi","ccur"
11,34,0,0,2,2,157,0,0,10,4,0,0,10,3,947,0,0,12,3,0,248,139,94,20,7,3,1,17,120,1,12,0,10,6,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,11,6,4,292,15,16,6,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,51,0,0,2,9,139,3,2,5,6,0,0,16,1,8,24,3,0,3,0,34,80,49,6,15,4,6,113,65,46,9,0,4,4,66,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,113,55,27,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,12,2,2,401,85,16,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,33,0,0,1,6,214,0,3,11,9,0,0,36,0,0,3,0,17,0,22,70,542,197,13,22,4,8,16,55,9,1,0,6,4,28,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,32,0,2,3,0,179,0,5,7,4,1,0,24,4,0,0,0,43,1,105,25,21,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,33,0,0,3,1,77,0,0,4,3,0,0,9,3,0,0,0,8,2,37,5,50,13,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,20,0,3,5,0,301,0,2,13,0,3,1,16,2,0,0,0,7,1,58,13,358,11,5,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,4,0,16,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,41,479,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,10,0,0,4,1,68,0,0,2,5,0,0,10,2,1,0,0,27,0,40,2,23,2,3,6,4,1,22,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,12,0,0,1,0,97,0,1,9,4,0,0,17,1,88,0,0,26,9,206,103,203,31,20,20,10,10,32,230,5,3,1,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,51,2,1,1,3,160,0,1,15,11,6,0,30,3,107,2,0,20,5,156,4,322,8,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,17,4,5,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
